ano,id_municipio,distritos_sp,bairros_sp,total_empregos
2021,3550308,36,8,464
2021,3550308,4,,5714
2021,3550308,67,433,343
2021,3550308,42,884,32
2021,3550308,7,,15521
2021,3550308,79,37,1547
2021,3550308,8,1316,765
2021,3550308,47,1074,402
2021,3550308,18,1015,400
2021,3550308,21,1577,104
2021,3550308,34,248,656
2021,3550308,24,,564
2021,3550308,15,1843,1554
2021,3550308,59,1606,613
2021,3550308,87,1767,3106
2021,3550308,30,1722,874
2021,3550308,41,1177,473
2021,3550308,84,935,92
2021,3550308,53,1759,372
2021,3550308,70,1730,516
2021,3550308,2,1626,4543
2021,3550308,58,1134,299
2021,3550308,51,1148,400
2021,3550308,62,47,318
2021,3550308,95,1876,921
2021,3550308,22,423,223
2021,3550308,85,635,1352
2021,3550308,37,932,504
2021,3550308,78,949,6516
2021,3550308,80,1316,2608
2021,3550308,73,1216,2479
2021,3550308,71,36,515
2021,3550308,79,1272,663
2021,3550308,57,,630
2021,3550308,25,1413,6647
2021,3550308,7,1063,1042
2021,3550308,91,1372,1402
2021,3550308,21,1675,1197
2021,3550308,53,39,5270
2021,3550308,23,490,140
2021,3550308,15,1493,123
2021,3550308,43,201,1682
2021,3550308,73,1649,146
2021,3550308,22,1810,941
2021,3550308,49,1282,67
2021,3550308,77,246,363
2021,3550308,83,610,258
2021,3550308,18,140,706
2021,3550308,96,591,135
2021,3550308,12,848,113
2021,3550308,46,1200,568
2021,3550308,40,846,1249
2021,3550308,41,58,668
2021,3550308,35,318,88
2021,3550308,11,789,534
2021,3550308,85,293,543
2021,3550308,40,1229,352
2021,3550308,37,1081,107
2021,3550308,64,1494,98
2021,3550308,18,157,334
2021,3550308,55,57,304
2021,3550308,45,936,222
2021,3550308,12,242,1458
2021,3550308,63,1659,215
2021,3550308,35,1867,458
2021,3550308,29,1196,322
2021,3550308,45,512,198
2021,3550308,16,784,157
2021,3550308,22,1108,118
2021,3550308,4,503,121
2021,3550308,22,957,150
2021,3550308,79,246,373
2021,3550308,85,102,224
2021,3550308,6,1083,671
2021,3550308,41,551,50
2021,3550308,18,542,219
2021,3550308,29,971,82
2021,3550308,5,1131,430
2021,3550308,76,70,397
2021,3550308,51,243,774
2021,3550308,76,1353,967
2021,3550308,85,1016,113
2021,3550308,71,123,4316
2021,3550308,21,724,56
2021,3550308,94,626,42
2021,3550308,24,83,2446
2021,3550308,16,561,119
2021,3550308,53,1072,81
2021,3550308,16,485,6
2021,3550308,74,902,68
2021,3550308,4,363,128
2021,3550308,35,188,92
2021,3550308,29,579,8
2021,3550308,73,1650,78
2021,3550308,33,1540,1328
2021,3550308,28,1123,458
2021,3550308,91,1233,83
2021,3550308,17,508,90
2021,3550308,30,1122,58
2021,3550308,52,30,824
2021,3550308,5,754,391
2021,3550308,59,593,348
2021,3550308,11,498,294
2021,3550308,68,815,24
2021,3550308,72,1629,483
2021,3550308,56,97,384
2021,3550308,68,399,427
2021,3550308,50,1752,163
2021,3550308,86,1151,33
2021,3550308,28,125,119
2021,3550308,78,773,6
2021,3550308,84,1235,237
2021,3550308,74,914,28
2021,3550308,48,1328,273
2021,3550308,8,1078,925
2021,3550308,84,1467,165
2021,3550308,11,1217,146
2021,3550308,36,703,22
2021,3550308,82,233,206
2021,3550308,55,647,59
2021,3550308,77,1515,132
2021,3550308,18,632,122
2021,3550308,1,120,509
2021,3550308,18,1735,15
2021,3550308,96,711,0
2021,3550308,67,1861,99
2021,3550308,12,260,27
2021,3550308,55,390,11
2021,3550308,91,686,48
2021,3550308,,1797,222
2021,3550308,28,707,161
2021,3550308,28,1217,447
2021,3550308,75,1027,275
2021,3550308,31,684,137
2021,3550308,95,546,31
2021,3550308,93,1485,271
2021,3550308,86,1465,48
2021,3550308,77,891,89
2021,3550308,29,362,100
2021,3550308,63,628,138
2021,3550308,40,1026,95
2021,3550308,93,1574,223
2021,3550308,26,4,381
2021,3550308,40,807,262
2021,3550308,83,1359,485
2021,3550308,68,785,32
2021,3550308,27,1518,177
2021,3550308,41,127,49
2021,3550308,54,388,265
2021,3550308,63,1464,33
2021,3550308,34,1587,107
2021,3550308,40,50,416
2021,3550308,42,1090,207
2021,3550308,24,232,123
2021,3550308,86,1197,7
2021,3550308,27,1836,137
2021,3550308,78,839,45
2021,3550308,68,954,84
2021,3550308,21,578,41
2021,3550308,28,793,3
2021,3550308,37,160,23
2021,3550308,74,690,196
2021,3550308,72,1553,181
2021,3550308,45,1064,0
2021,3550308,77,1399,63
2021,3550308,71,117,130
2021,3550308,65,1617,6
2021,3550308,40,908,400
2021,3550308,40,186,59
2021,3550308,40,684,106
2021,3550308,16,853,137
2021,3550308,76,1226,160
2021,3550308,19,1164,64
2021,3550308,96,1145,51
2021,3550308,71,112,50
2021,3550308,61,1085,442
2021,3550308,21,698,76
2021,3550308,28,1116,80
2021,3550308,86,1725,238
2021,3550308,29,937,1
2021,3550308,15,472,134
2021,3550308,16,532,168
2021,3550308,82,1799,1810
2021,3550308,84,1191,2
2021,3550308,38,138,109
2021,3550308,74,,45
2021,3550308,29,889,82
2021,3550308,76,1543,99
2021,3550308,95,1806,169
2021,3550308,45,1357,0
2021,3550308,67,554,3
2021,3550308,83,946,0
2021,3550308,41,941,3
2021,3550308,16,589,101
2021,3550308,61,270,251
2021,3550308,95,1295,34
2021,3550308,46,1754,598
2021,3550308,68,885,2983
2021,3550308,11,453,228
2021,3550308,41,1062,128
2021,3550308,64,1429,42
2021,3550308,16,1686,4
2021,3550308,24,192,72
2021,3550308,22,814,41
2021,3550308,84,1730,15
2021,3550308,29,323,0
2021,3550308,73,48,68
2021,3550308,64,1467,130
2021,3550308,41,372,69
2021,3550308,58,936,323
2021,3550308,29,870,31
2021,3550308,,1144,10
2021,3550308,74,1019,549
2021,3550308,84,849,271
2021,3550308,21,1493,136
2021,3550308,49,3,0
2021,3550308,11,347,330
2021,3550308,55,1079,6
2021,3550308,34,1757,23
2021,3550308,41,521,112
2021,3550308,18,1160,137
2021,3550308,78,510,235
2021,3550308,27,1779,303
2021,3550308,16,1359,159
2021,3550308,87,1717,79
2021,3550308,75,354,158
2021,3550308,,1214,107
2021,3550308,18,322,24
2021,3550308,58,231,7
2021,3550308,71,413,10
2021,3550308,52,,63
2021,3550308,42,1459,110
2021,3550308,21,84,0
2021,3550308,22,1137,40
2021,3550308,16,660,27
2021,3550308,84,1837,10
2021,3550308,3,1593,228
2021,3550308,49,1621,14
2021,3550308,,1240,14
2021,3550308,40,1789,23
2021,3550308,63,199,68
2021,3550308,,771,282
2021,3550308,45,708,20
2021,3550308,,1459,0
2021,3550308,88,1442,82
2021,3550308,70,1051,124
2021,3550308,35,397,106
2021,3550308,37,63,47
2021,3550308,22,353,534
2021,3550308,74,1014,60
2021,3550308,16,1322,127
2021,3550308,34,740,11
2021,3550308,83,1476,2
2021,3550308,22,564,69
2021,3550308,77,37,120
2021,3550308,72,406,315
2021,3550308,71,868,235
2021,3550308,37,1442,8
2021,3550308,37,346,372
2021,3550308,84,1682,153
2021,3550308,22,1110,467
2021,3550308,36,1449,0
